"Bean_Type","Broad_Bean_Origin","Cocoa_Percent","Company_Location","Company",REF,Rating,"Review_Date","Specific_Bean_Origin_or_Bar_Name"
"Criollo, Trinitario",Nicaragua,70%,Netherlands,Alexandre,1944,3.5,2017,"La Dalia, Matagalpa"
Trinitario,Vietnam,70%,Netherlands,Alexandre,1944,3.5,2017,Tien Giang
Forastero,Tanzania,70%,Netherlands,Alexandre,1944,3.5,2017,"Makwale Village, Kyela"
 ,Nicaragua,60%,U.S.A.,Altus aka Cao Artisan,1728,2.75,2016,Momotombo
 ,Peru,60%,U.S.A.,Altus aka Cao Artisan,1728,3.0,2016,Acopagro
 ,Bolivia,60%,U.S.A.,Altus aka Cao Artisan,1732,2.5,2016,CIAAB Coop
 ,Peru,60%,U.S.A.,Altus aka Cao Artisan,1732,2.5,2016,Villa Andina
 ,Ecuador,60%,U.S.A.,Altus aka Cao Artisan,1732,2.75,2016,Gruppo Salinas
 ,Venezuela,60%,U.S.A.,Altus aka Cao Artisan,1125,2.5,2013,Sur del Lago
Trinitario,Dominican Republic,60%,U.S.A.,Altus aka Cao Artisan,1125,3.0,2013,Conacado
 ,Bolivia,80%,U.S.A.,Altus aka Cao Artisan,1129,3.25,2013,Bolivia
 ,Bolivia,60%,U.S.A.,Altus aka Cao Artisan,1133,3.0,2013,Bolivia
 ,Peru,60%,U.S.A.,Altus aka Cao Artisan,1133,3.25,2013,Peru
 ,Papua New Guinea,70%,U.S.A.,Amano,725,4.0,2011,Morobe
 ,Dominican Republic,70%,U.S.A.,Amano,470,3.75,2010,Dos Rios
 ,Ecuador,70%,U.S.A.,Amano,470,4.0,2010,Guayas
Trinitario,Venezuela,70%,U.S.A.,Amano,544,3.0,2010,Chuao
 ,Venezuela,70%,U.S.A.,Amano,363,3.0,2009,Montanya
 ,Indonesia,70%,U.S.A.,Amano,304,2.75,2008,"Bali, Jembrana"
Trinitario,Madagascar,70%,U.S.A.,Amano,129,3.5,2007,Madagascar
 ,Venezuela,70%,U.S.A.,Amano,147,3.0,2007,Cuyagua
Criollo,Venezuela,70%,U.S.A.,Amano,175,3.75,2007,Ocumare
Forastero,Ghana,70%,Spain,Amatller (Simon Coll),322,3.0,2009,Ghana
 ,Ecuador,70%,Spain,Amatller (Simon Coll),327,2.75,2009,Ecuador
 ,Ecuador,85%,Spain,Amatller (Simon Coll),464,2.75,2009,Ecuador
Forastero,Ghana,85%,Spain,Amatller (Simon Coll),464,3.0,2009,Ghana
 ,Peru,72%,Peru,Amazona,1145,3.25,2013,"LamasdelChanka, San Martin, Oro Verde coop"
Trinitario,Peru,73%,Peru,Amazona,1145,3.5,2013,"Bellavista Gran Pajeten, San Martin"
Trinitario,Belize,64%,Canada,Ambrosia,1494,3.0,2015,Belize
Trinitario,Madagascar,66%,Canada,Ambrosia,1494,3.25,2015,Madagascar
 ,Dominican Republic,75%,Canada,Ambrosia,1498,3.25,2015,Dominican Republic
 ,Papua New Guinea,63%,Canada,Ambrosia,1498,3.25,2015,Papua New Guinea
 ,Venezuela,70%,Canada,Ambrosia,1498,3.25,2015,Venezuela
 ,Peru,68%,Canada,Ambrosia,1498,3.5,2015,Peru
 ,Peru,70%,Italy,Amedei,979,3.75,2012,"Piura, Blanco de Criollo"
Criollo (Porcelana),Venezuela,70%,Italy,Amedei,111,4.0,2007,Porcelana
Blend,,75%,Italy,Amedei,111,4.0,2007,Nine
Trinitario,Venezuela,70%,Italy,Amedei,111,5.0,2007,Chuao
Trinitario,Ecuador,70%,Italy,Amedei,123,3.0,2007,Ecuador
Trinitario,Jamaica,70%,Italy,Amedei,123,3.0,2007,Jamaica
Trinitario,Grenada,70%,Italy,Amedei,123,3.5,2007,Grenada
Trinitario (85% Criollo),Venezuela,70%,Italy,Amedei,123,3.75,2007,Venezuela
Trinitario (85% Criollo),Madagascar,70%,Italy,Amedei,123,4.0,2007,Madagascar
Trinitario,Trinidad,70%,Italy,Amedei,129,3.5,2007,Trinidad
Blend,,63%,Italy,Amedei,170,3.5,2007,Toscano Black
Blend,,70%,Italy,Amedei,40,5.0,2006,Toscano Black
Blend,,66%,Italy,Amedei,75,4.0,2006,Toscano Black
Forastero (Catongo),Brazil,75%,Brazil,AMMA,1065,3.25,2013,Catongo
Forastero (Parazinho),Brazil,85%,Brazil,AMMA,572,2.75,2010,"Monte Alegre, 3 diff. plantations"
Forastero (Parazinho),Brazil,50%,Brazil,AMMA,572,3.75,2010,"Monte Alegre, 3 diff. plantations"
Forastero (Parazinho),Brazil,75%,Brazil,AMMA,572,3.75,2010,"Monte Alegre, 3 diff. plantations"
Forastero (Parazinho),Brazil,60%,Brazil,AMMA,572,4.0,2010,"Monte Alegre, 3 diff. plantations"
 ,Dominican Republic,75%,U.S.A.,Anahata,1259,3.0,2014,Elvesia
 ,Bolivia,75%,U.S.A.,Animas,1852,3.5,2016,Alto Beni
Trinitario,Madagascar,75%,France,Ara,1375,3.0,2014,Madagascar
 ,Mexico,72%,France,Ara,1379,2.5,2014,Chiapas
 ,Ecuador,75%,France,Ara,1379,2.75,2014,Equateur
 ,Venezuela,75%,France,Ara,1379,3.0,2014,Trincheras
Trinitario,Trinidad,70%,U.S.A.,Arete,1724,3.5,2016,San Juan
 ,Tanzania,70%,U.S.A.,Arete,1724,3.75,2016,Kokoa Kamili
Trinitario,Vietnam,73%,U.S.A.,Arete,1900,3.5,2016,Tien Giang
 ,Ecuador,70%,U.S.A.,Arete,1904,3.25,2016,Hacienda Victoria
 ,Ecuador,70%,U.S.A.,Arete,1904,3.25,2016,Costa Esmeraldas
 ,Guatemala,70%,U.S.A.,Arete,1904,3.5,2016,Lachua
 ,Nicaragua,70%,U.S.A.,Arete,1904,3.75,2016,Rugoso
 ,Honduras,70%,U.S.A.,Arete,1908,3.5,2016,"La Masica, FHIA"
 ,Costa Rica,70%,U.S.A.,Arete,1908,4.0,2016,"Coto Brus, Terciopelo"
Forastero (Nacional),Peru,70%,U.S.A.,Arete,1924,4.0,2016,Phantom
 ,Dominican Republic,70%,U.S.A.,Arete,1928,3.75,2016,Elvesia
 ,Fiji,70%,U.S.A.,Arete,1928,3.25,2016,Matasawalevu
 ,Vietnam,73%,U.S.A.,Arete,1928,3.25,2016,Lam Dong
 ,Brazil,70%,U.S.A.,Arete,1534,3.5,2015,Fazenda Camboa
Forastero (Nacional),Peru,68%,U.S.A.,Arete,1534,3.5,2015,Nacional
Forastero (Nacional),Ecuador,70%,U.S.A.,Arete,1534,3.75,2015,"Puerto Quito, heirloom"
 ,Dominican Republic,70%,U.S.A.,Arete,1598,3.5,2015,Oko Caribe
Trinitario,Belize,70%,U.S.A.,Arete,1598,3.75,2015,Maya Mountain
"Criollo, Trinitario",Nicaragua,70%,U.S.A.,Arete,1598,4.0,2015,Chuno
 ,Brazil,75%,U.S.A.,Arete,1602,2.75,2015,Fazenda Camboa
 ,Guatemala,70%,U.S.A.,Arete,1602,3.25,2015,Guatemala
 ,Ecuador,75%,U.S.A.,Arete,1602,3.5,2015,Camino Verde
Trinitario,Trinidad,72%,U.K.,Artisan du Chocolat,1193,3.25,2013,"Trinidad, Heritage, Limited ed."
 ,Colombia,72%,U.K.,Artisan du Chocolat,947,3.75,2012,"Colombia, Casa Luker"
 ,Haiti,72%,U.K.,Artisan du Chocolat,729,4.0,2011,Haiti
 ,Panama,72%,U.K.,Artisan du Chocolat,745,2.75,2011,Panama
 ,Venezuela,100%,U.K.,Artisan du Chocolat,486,1.75,2010,Venezuela
Trinitario,Jamaica,72%,U.K.,Artisan du Chocolat,531,3.75,2010,Jamaica
 ,Costa Rica,72%,U.K.,Artisan du Chocolat,600,3.25,2010,Costa Rica
Trinitario,Vietnam,72%,U.K.,Artisan du Chocolat,600,3.25,2010,Ba Ria Vung Tau Province
 ,Indonesia,72%,U.K.,Artisan du Chocolat,600,3.5,2010,Bali
"Criollo, Trinitario",Venezuela,75%,U.K.,Artisan du Chocolat,355,2.5,2009,"Ocumare, Venezuela"
Trinitario,Indonesia,72%,U.K.,Artisan du Chocolat,355,2.75,2009,Java
 ,Brazil,72%,U.K.,Artisan du Chocolat,363,1.75,2009,Brazil Rio Doce
"Criollo, Trinitario",Madagascar,80%,U.K.,Artisan du Chocolat,363,3.0,2009,Madagascar
Criollo,Peru,75%,U.K.,Artisan du Chocolat,363,3.0,2009,Peru
Trinitario,Dominican Republic,72%,U.K.,Artisan du Chocolat,363,3.25,2009,Dominican Republic
Forastero,Congo,72%,U.K.,Artisan du Chocolat,300,3.75,2008,Congo
Trinitario,Colombia,72%,U.K.,Artisan du Chocolat (Casa Luker),1181,2.75,2013,"Orinoqua Region, Arauca"
Trinitario,Tanzania,68%,U.S.A.,Askinosie,1780,3.75,2016,Mababa
Trinitario,Tanzania,72%,U.S.A.,Askinosie,647,3.75,2011,"Tenende, Uwate"
Trinitario,Honduras,70%,U.S.A.,Askinosie,661,3.75,2011,Cortes
Trinitario,Philippines,77%,U.S.A.,Askinosie,331,3.75,2009,Davao
Trinitario,Mexico,75%,U.S.A.,Askinosie,141,2.5,2007,Xoconusco
Forastero (Arriba),Ecuador,70%,U.S.A.,Askinosie,175,3.0,2007,San Jose del Tambo
 ,,80%,Australia,Bahen & Co.,1474,3.25,2015,Houseblend
 ,Papua New Guinea,70%,Australia,Bahen & Co.,1474,3.5,2015,Papua New Guinea
Trinitario,Madagascar,70%,Australia,Bahen & Co.,995,3.0,2012,Sambirano
 ,Brazil,70%,Australia,Bahen & Co.,999,2.5,2012,Bahia
Blend,,70%,Australia,Bahen & Co.,999,2.5,2012,Houseblend
 ,Peru,70%,Peru,Bakau,1454,2.75,2015,"Bambamarca, 2015"
 ,Peru,70%,Peru,Bakau,1454,3.5,2015,"Huallabamba, 2015"
 ,Brazil,70%,U.S.A.,Bar Au Chocolat,1554,3.5,2015,Bahia
Forastero (Nacional),Peru,70%,U.S.A.,Bar Au Chocolat,1295,4.0,2014,Maranon Canyon
 ,Dominican Republic,70%,U.S.A.,Bar Au Chocolat,983,3.25,2012,Duarte Province
 ,Mexico,70%,U.S.A.,Bar Au Chocolat,983,3.5,2012,Chiapas
Trinitario,Madagascar,70%,U.S.A.,Bar Au Chocolat,983,3.75,2012,Sambirano
 ,Costa Rica,80%,Wales,Baravelli's,955,2.75,2012,single estate
 ,Dominican Republic,65%,U.S.A.,Batch,1840,3.5,2016,"Dominican Republic, Batch 3"
 ,Brazil,70%,U.S.A.,Batch,1868,3.75,2016,Brazil
 ,Ecuador,65%,U.S.A.,Batch,1880,3.25,2016,Ecuador
 ,Malaysia,73%,U.K.,Beau Cacao,1948,3.0,2017,"Asajaya E, NW Borneo, b. #132/4500"
 ,Malaysia,72%,U.K.,Beau Cacao,1948,3.25,2017,"Serian E., NW Borneo, b. #134/3800"
 ,Brazil,80%,U.S.A.,Beehive,1784,2.75,2016,"Brazil, Batch 20316"
 ,Dominican Republic,70%,U.S.A.,Beehive,1784,2.75,2016,"Dominican Republic, Batch 31616"
 ,Ecuador,70%,U.S.A.,Beehive,1784,2.75,2016,"Ecuador, Batch 31516"
 ,Ecuador,90%,U.S.A.,Beehive,1788,2.75,2016,Ecuador
 ,Costa Rica,64%,Belgium,Belcolade,586,2.75,2010,Costa Rica
 ,Papua New Guinea,64%,Belgium,Belcolade,586,2.75,2010,Papua New Guinea
 ,Peru,64%,Belgium,Belcolade,586,2.75,2010,Peru
 ,Ecuador,71%,Belgium,Belcolade,586,3.5,2010,Ecuador
"Criollo, Trinitario",Tanzania,70%,U.S.A.,Bellflower,1800,3.5,2016,"Kakao Kamili, Kilombero Valley"
 ,Bolivia,70%,U.S.A.,Bellflower,1804,3.25,2016,"Alto Beni, Palos Blanco"
 ,Dominican Republic,70%,U.S.A.,Bellflower,1864,3.5,2016,"Oko Caribe, Duarte P."
Trinitario,Belize,83%,Germany,Belyzium,1768,2.75,2016,"Belize south, low fermentation"
Trinitario,Belize,78%,Germany,Belyzium,1768,3.0,2016,Belize south
Trinitario,Belize,83%,Germany,Belyzium,1768,3.5,2016,Belize south
Trinitario,Cuba,74%,Belgium,Benoit Nihant,1141,3.5,2013,Baracoa
Criollo,Venezuela,74%,Belgium,Benoit Nihant,1141,3.5,2013,Chuao
Criollo,Venezuela,74%,Belgium,Benoit Nihant,1141,3.5,2013,Cuyagua Village
Trinitario,Ecuador,73%,Belgium,Benoit Nihant,1141,4.0,2013,Rio Peripa H.
Trinitario,Indonesia,72%,Belgium,Benoit Nihant,757,4.0,2011,"Bali, Sukrama Bros. Farm, Melaya, 62hr C"
Trinitario,Madagascar,72%,Belgium,Benoit Nihant,773,3.75,2011,"Somia Plantation, Sambirano, 70hr C"
 ,,55%,France,Bernachon,797,2.75,2012,Nature
Trinitario,Madagascar,64%,Switzerland,Beschle (Felchlin),636,3.0,2011,Madagascar
Criollo,Venezuela,88%,Switzerland,Beschle (Felchlin),636,3.0,2011,Maracaibo
 ,Venezuela,72%,Switzerland,Beschle (Felchlin),636,3.5,2011,"Indigena Amazonia, Grand Cru, Quizas"
 ,Ecuador,72%,Switzerland,Beschle (Felchlin),636,4.0,2011,Ecuador
Trinitario,Venezuela,70%,Switzerland,Beschle (Felchlin),508,3.25,2010,"Carenero S., Barlovento, Grand Cru"
Criollo (Porcelana),Venezuela,74%,Switzerland,Beschle (Felchlin),508,3.25,2010,"Porcelana, Premier Cru, Quizas No. 1"
 ,Indonesia,64%,Switzerland,Beschle (Felchlin),508,3.5,2010,"Java, Grand Cru"
 ,Venezuela,72%,Switzerland,Beschle (Felchlin),508,3.5,2010,"Ocumare, Premier Cru, Quizas No. 2"
 ,Nicaragua,76%,U.S.A.,Bisou,1482,2.5,2015,"Nicaragua, American style"
 ,Costa Rica,76%,U.S.A.,Bisou,1486,2.5,2015,"San Andres, American style"
 ,Costa Rica,78%,U.S.A.,Bisou,1486,2.5,2015,"San Andres, silk"
Trinitario,Belize,86%,U.S.A.,Bisou,1486,3.25,2015,Belize
Forastero,Ghana,72%,U.S.A.,Bittersweet Origins,963,3.5,2012,Ghana
 ,Indonesia,75%,U.S.A.,Bittersweet Origins,478,3.25,2010,"Bali, Singaraja"
 ,Indonesia,65%,U.S.A.,Bittersweet Origins,558,2.75,2010,"Bali, Singaraja"
Trinitario,Madagascar,70%,U.S.A.,Bittersweet Origins,565,3.0,2010,"Sambirano, 2009"
Criollo,Venezuela,78%,U.S.A.,Bittersweet Origins,565,3.0,2010,"Ocumare, prototype"
 ,Dominican Republic,75%,U.S.A.,Bittersweet Origins,414,3.0,2009,Puerto Plata
 ,Dominican Republic,65%,U.S.A.,Bittersweet Origins,414,3.5,2009,Puerto Plata
Trinitario,Madagascar,75%,U.S.A.,Bittersweet Origins,423,3.25,2009,Sambirano
Trinitario,Madagascar,65%,U.S.A.,Bittersweet Origins,431,3.5,2009,Sambirano
Trinitario,Madagascar,71%,U.S.A.,Bittersweet Origins,233,3.0,2008,Sambirano
 ,Panama,75%,U.S.A.,Bittersweet Origins,233,3.5,2008,Bocas del Toro
 ,Dominican Republic,68%,U.S.A.,Bittersweet Origins,233,3.75,2008,Puerto Plata
Forastero,Ghana,70%,U.S.A.,Bittersweet Origins,256,3.0,2008,Ankasa
 ,Dominican Republic,70%,U.S.A.,Black Mountain,256,2.75,2008,La Red
Trinitario,Venezuela,70%,U.S.A.,Black Mountain,256,2.75,2008,Carenero Superior
 ,Nicaragua,70%,U.S.A.,Black Mountain,256,3.0,2008,Matiguas
Trinitario,Jamaica,70%,U.K.,Black River (A. Morin),1331,2.75,2014,Blue Mountain Region
Forastero,Congo,82%,Spain,Blanxart,1046,3.5,2013,"Congo, Grand Cru"
 ,,72%,Spain,Blanxart,322,2.75,2009,Organic Dark
Trinitario,Madagascar,82%,U.S.A.,Blue Bandana,1740,3.5,2016,"Akesson's E., Sambirano V."
 ,Guatemala,75%,U.S.A.,Blue Bandana,1752,2.75,2016,Lachua
 ,Tanzania,75%,U.S.A.,Blue Bandana,1752,3.5,2016,Kokoa Kamili
 ,Dominican Republic,75%,U.S.A.,Blue Bandana,1756,3.0,2016,Zorzal Reserva
 ,Guatemala,70%,U.S.A.,Blue Bandana,911,3.5,2012,Guatemala
Trinitario,Madagascar,70%,U.S.A.,Blue Bandana,911,3.75,2012,Madagascar
 ,Mexico,75%,France,Bonnat,1912,3.5,2016,Selva Maya
 ,Brazil,75%,France,Bonnat,1339,4.0,2014,Kaori
 ,Dominican Republic,75%,France,Bonnat,1418,3.25,2014,"Los Colorados, Santo Domingo, Equateur"
 ,Brazil,75%,France,Bonnat,1038,3.5,2013,Maragnam
 ,Gabon,75%,France,Bonnat,1042,3.25,2013,Gabon
Trinitario,Cuba,75%,France,Bonnat,629,3.5,2011,Cuba
 ,Peru,75%,France,Bonnat,629,3.5,2011,"Cusco, Cacao Cusco"
Forastero (Nacional),Peru,75%,France,Bonnat,629,3.5,2011,Piura Blanco
 ,Brazil,75%,France,Bonnat,629,3.75,2011,Libanio
 ,Haiti,75%,France,Bonnat,629,4.0,2011,Haiti
Criollo,Madagascar,75%,France,Bonnat,629,4.0,2011,"Madagascar, 100% criollo"
 ,Brazil,75%,France,Bonnat,672,3.5,2011,Juliana
Trinitario,Jamaica,75%,France,Bonnat,761,3.25,2011,Jamaique
 ,Côte d'Ivoire,75%,France,Bonnat,331,3.0,2009,Côte d'Ivoire
Criollo,Peru,75%,France,Bonnat,336,2.75,2009,"Porcelana, Apotequil"
Criollo,Mexico,75%,France,Bonnat,336,3.0,2009,"Porcelana, Tabasco, Marfil de Blanco"
Criollo,Mexico,75%,France,Bonnat,395,3.0,2009,"Xoconusco, cacao Real"
Criollo (Porcelana),Venezuela,75%,France,Bonnat,199,4.0,2008,"Porcelana, Venezuela"
Forastero (Arriba),Ecuador,75%,France,Bonnat,123,2.5,2007,Equateur
Trinitario,Carribean,75%,France,Bonnat,24,3.75,2006,Trinite
 ,Venezuela,75%,France,Bonnat,32,4.0,2006,"Ocumare, Puerto Cabello"
Criollo,Venezuela,75%,France,Bonnat,48,4.0,2006,"Maracaibo, El Rosario"
Trinitario,Madagascar,75%,France,Bonnat,75,4.0,2006,Madagascar
 ,,100%,France,Bonnat,81,1.5,2006,One Hundred
 ,Sri Lanka,75%,France,Bonnat,81,3.0,2006,Ceylan
Trinitario,Venezuela,75%,France,Bonnat,81,4.0,2006,Chuao
Forastero (Arriba),Ecuador,77%,Ecuador,Bouga Cacao (Tulicorp),316,3.25,2009,"El Oro, Hacienda de Oro"
Forastero (Arriba),Ecuador,100%,Ecuador,Bouga Cacao (Tulicorp),341,1.5,2009,"El Oro, Hacienda de Oro"
Trinitario,Belize,70%,U.S.A.,Bowler Man,1267,2.75,2014,Maya Mountain
 ,Dominican Republic,70%,U.S.A.,Bowler Man,1271,2.75,2014,Conacado
Criollo,Venezuela,70%,U.S.A.,Brasstown aka It's Chocolate,1868,3.5,2016,"Guasare, Zulia Prov."
 ,Nicaragua,70%,U.S.A.,Brasstown aka It's Chocolate,1868,3.75,2016,"O'payo, Waslala"
 ,Dominican Republic,68%,U.S.A.,Brasstown aka It's Chocolate,1462,3.75,2015,Conacado
Trinitario,Belize,70%,U.S.A.,Brasstown aka It's Chocolate,1255,3.75,2014,Maya Mountain
Trinitario,Venezuela,70%,U.S.A.,Brasstown aka It's Chocolate,1355,4.0,2014,Chuao
Trinitario,Dominican Republic,72%,U.S.A.,Brasstown aka It's Chocolate,1125,3.0,2013,Cooproagro
 ,Ecuador,70%,U.S.A.,Brasstown aka It's Chocolate,1125,3.25,2013,"Camino Verde, Guayas"
Forastero,Ghana,75%,U.S.A.,Brasstown aka It's Chocolate,1129,3.5,2013,Ghana
Trinitario,Venezuela,85%,U.S.A.,Brasstown aka It's Chocolate,1129,3.5,2013,"Chuao, Mantuano blend"
 ,Dominican Republic,60%,U.S.A.,Brazen,1514,3.0,2015,Elvesia P.
 ,Dominican Republic,80%,U.S.A.,Brazen,1514,3.25,2015,Elvesia P.
 ,Guatemala,70%,U.S.A.,Brazen,1514,3.5,2015,"Alta Verapaz, 2014"
 ,Madagascar,80%,U.S.A.,Brazen,1518,2.75,2015,Ambolikapiky P.
Trinitario,Belize,80%,U.S.A.,Brazen,1518,3.25,2015,Maya Mountain
 ,Madagascar,60%,U.S.A.,Brazen,1518,3.25,2015,Ambolikapkly P.
Trinitario,Jamaica,70%,U.S.A.,Breeze Mill,1149,3.0,2013,Jamaica
Trinitario,Madagascar,72%,Australia,Bright,1231,3.0,2014,Somia Plantation
 ,Dominican Republic,70%,Australia,Bright,1231,3.5,2014,Marabel Farms
 ,Ecuador,72%,Australia,Bright,1231,3.5,2014,"Camino Verde, Balao, Guayas"
Trinitario,Trinidad,68%,Australia,Bright,1235,2.75,2014,Gran Couva
 ,Ecuador,70%,Russia,Britarev,1638,3.25,2015,Ecuador
 ,Dominican Republic,68%,U.S.A.,Bronx Grrl Chocolate,1181,2.75,2013,Dominican Republic
Trinitario,Trinidad,72%,U.S.A.,Burnt Fork Bend,1299,3.25,2014,Trinidad
 ,Ecuador,72%,U.S.A.,Burnt Fork Bend,1299,3.5,2014,Mindo
Trinitario,Belize,72%,U.S.A.,Burnt Fork Bend,1303,3.25,2014,Belize
Blend,,72%,U.S.A.,Burnt Fork Bend,1303,3.25,2014,Blend
 ,Ecuador,60%,U.S.A.,Burnt Fork Bend,1323,2.5,2014,"Ecuador, Bob Bar"
 ,Puerto Rico,70%,Puerto Rico,Cacao Arabuco,1606,2.5,2015,Puerto Rico
Criollo,Peru,75%,U.S.A.,Cacao Atlanta,1215,2.5,2014,Tumbes
 ,Dominican Republic,75%,U.S.A.,Cacao Atlanta,502,2.5,2010,"Dominican Republic, ""Love Bar"""
 ,Dominican Republic,75%,U.S.A.,Cacao Atlanta,502,2.75,2010,Dominican Republic w/ nibs
 ,Venezuela,75%,U.S.A.,Cacao Atlanta,600,2.25,2010,Patanemo
"Trinitario, Criollo",Haiti,65%,France,Cacao Barry,1716,3.5,2016,Grand 'Anse
 ,Dominican Republic,70%,France,Cacao Barry,586,3.0,2010,Santo Domingo
 ,Tanzania,75%,France,Cacao Barry,300,2.0,2008,Tanzania
 ,Venezuela,72%,France,Cacao Barry,141,2.0,2007,Venezuela
 ,Mexico,66%,France,Cacao Barry,147,3.0,2007,Mexico
Trinitario,Venezuela,77%,Venezuela,Cacao de Origen,1688,3.5,2015,Chuao
Trinitario,Venezuela,75%,Venezuela,Cacao de Origen,1692,3.25,2015,Rio Caribe
 ,Venezuela,75%,Venezuela,Cacao de Origen,1391,2.5,2014,Agua Fria; Sucre region
 ,Venezuela,74%,Venezuela,Cacao de Origen,1391,3.25,2014,Macuare; Miranda; Chloe formula
Trinitario,Venezuela,75%,Venezuela,Cacao de Origen,1391,3.5,2014,"Chuao, Aragua region"
Trinitario,Venezuela,70%,Venezuela,Cacao de Origen,1395,3.75,2014,"Chuao, Aragua region"
 ,Venezuela,74%,Venezuela,Cacao de Origin,1668,3.25,2015,Hacienda la Trinidad
 ,Colombia,71%,Colombia,Cacao Hunters,1816,3.75,2016,Macondo
 ,Colombia,74%,Colombia,Cacao Hunters,1816,3.75,2016,Perla Negra
 ,Colombia,72%,Colombia,Cacao Hunters,1662,3.75,2015,Arhuacos
 ,Colombia,64%,Colombia,Cacao Hunters,1430,3.5,2014,Sierra Nevada
 ,Colombia,70%,Colombia,Cacao Hunters,1430,3.5,2014,Tumaco
 ,Colombia,69%,Colombia,Cacao Hunters,1434,2.75,2014,"Boyaca, Aprocampa Coop, Pauna"
 ,Colombia,70%,Colombia,Cacao Hunters,1434,3.25,2014,Arauca
Trinitario,Honduras,70%,U.S.A.,Cacao Market,1860,3.5,2016,"Jutiapa, lot 050916D"
Criollo,Dominican Republic,72%,U.S.A.,Cacao Prieto,991,3.75,2012,"Criollo, Dominican Republic"
 ,Dominican Republic,72%,U.S.A.,Cacao Prieto,641,3.0,2011,"Dominican Republicm, rustic"
 ,Dominican Republic,66%,U.S.A.,Cacao Prieto,641,3.75,2011,Dominican Republic
 ,Dominican Republic,65%,U.S.A.,Cacao Prieto,647,3.25,2011,"Dominican Republic, rustic"
Criollo,Congo,70%,Spain,Cacao Sampaka,1908,3.5,2016,"Mahali, Kasai"
Trinitario,Madagascar,71%,Spain,Cacao Sampaka,508,3.5,2010,Madagascar
